Steps (m),Mean Distance (d)
20,3.909415215966893
100,8.802332875894587
300,14.18480771665009
700,22.66857904095058
900,25.749135772964234
1200,34.22856309870269
3500,54.375983221944075
5000,54.201687285311976
8000,83.54712476601948
10000,82.97546954048997
